trade_id,price,size,quote_size,time,buyer_maker,best_match
40622813,580925.00000000,0.00007000,40.66475000,1733011200869,False,True
40622814,580915.00000000,0.00021000,121.99215000,1733011210217,True,True
40622815,580924.00000000,0.00017000,98.75708000,1733011217407,False,True
40622816,580902.00000000,0.00004000,23.23608000,1733011217507,True,True
40622817,580863.00000000,0.00002000,11.61726000,1733011217507,True,True
40622818,580857.00000000,0.01094000,6354.57558000,1733011219554,False,True
40622819,580856.00000000,0.02185000,12691.70360000,1733011230400,True,True
40622820,580801.00000000,0.00002000,11.61602000,1733011230695,False,True
40622821,580800.00000000,0.00300000,1742.40000000,1733011232686,True,True
40622822,580801.00000000,0.00034000,197.47234000,1733011234789,False,True
